encoding,model,mae,mse,rmse,nrmse,r2
target,lgr,17.588,500.596,22.374,0.176,0.941
mestimate,lgr,17.64,502.544,22.417,0.177,0.941
jamesstein,lgr,17.647,502.615,22.419,0.177,0.941
loout,lgr,17.674,504.154,22.453,0.177,0.941
glmm,lgr,17.63,501.933,22.404,0.176,0.941
catboost,lgr,17.513,500.762,22.378,0.176,0.941
quantile,lgr,17.638,503.495,22.439,0.177,0.941
summary,lgr,17.591,498.845,22.335,0.176,0.941
onehot,dt,28.211,1167.15,34.164,0.269,0.862
binary,dt,29.599,1319.729,36.328,0.286,0.844
basen,dt,27.737,1169.753,34.202,0.269,0.862
hash,dt,30.162,1358.559,36.859,0.29,0.84
ordinal,dt,27.842,1168.255,34.18,0.269,0.862
gray,dt,28.053,1208.19,34.759,0.274,0.857
rankhot,dt,28.899,1247.433,35.319,0.278,0.853
count,dt,27.437,1150.393,33.917,0.267,0.864
minhash,dt,27.923,1205.518,34.721,0.273,0.858
similarity,dt,30.162,1336.996,36.565,0.288,0.842
gap,dt,29.271,1325.239,36.404,0.287,0.844
sum,dt,28.785,1206.672,34.737,0.274,0.858
helm,dt,28.202,1211.749,34.81,0.274,0.857
polynomial,dt,31.061,1502.551,38.763,0.305,0.823
backdiff,dt,28.251,1223.838,34.983,0.275,0.856
target,dt,29.382,1309.26,36.184,0.285,0.846
mestimate,dt,28.451,1191.744,34.522,0.272,0.86
jamesstein,dt,29.533,1277.752,35.746,0.281,0.849
loout,dt,44.069,2911.833,53.961,0.425,0.657
glmm,dt,26.407,1063.943,32.618,0.257,0.875
catboost,dt,27.886,1268.919,35.622,0.28,0.85
quantile,dt,29.325,1320.309,36.336,0.286,0.844
summary,dt,28.163,1246.959,35.312,0.278,0.853
