encoding,model,accuracy,precision,recall,F1,AUC
woe,mlp,0.946,0.9155051830272072,0.8479850266128561,0.8774109186008501,
onehot,knn,0.857,0.6619791666666667,0.5519723593947142,0.5612945186357794,
binary,knn,0.878,0.7810038842035236,0.6094135144845796,0.6418674557324692,
basen,knn,0.892,0.8401154401154401,0.6477076178778232,0.6917491523101689,
hash,knn,0.877,0.815599173553719,0.5816851745084768,0.6067259455363395,
ordinal,knn,0.897,0.8515957446808511,0.6656932293886145,0.7126108052756844,
gray,knn,0.895,0.8471886668130904,0.658498984784298,0.7043844016317982,
rankhot,knn,0.885,0.8082569884895466,0.6315769683904444,0.6702518415717804,
count,knn,0.893,0.8526858162934112,0.6452719357614953,0.6903209374882423,
minhash,knn,0.862,0.6984084763044731,0.6121876018349084,0.6359376978599468,
similarity,knn,0.856,0.6564256466339429,0.551391639301799,0.5604395604395604,
gap,knn,0.882,0.7681386495141495,0.6630152324133725,0.6962489317229378,
sum,knn,0.865,0.7140625,0.5686837289750081,0.5858374826281832,
helm,knn,0.867,0.7348915289256198,0.5607959625331094,0.5747524451734403,
polynomial,knn,0.857,0.638083286856293,0.5248247395115266,0.5170207951256253,
backdiff,knn,0.876,0.7702740402154553,0.6052356720895061,0.6359964304166079,
target,knn,0.901,0.8294675593814762,0.7072293384804351,0.7481934789741556,
mestimate,knn,0.903,0.8361097826664541,0.7114071808755087,0.7532804793989201,
jamesstein,knn,0.901,0.8320652173913043,0.7042129362711921,0.7461792282310231,
loout,knn,0.907,0.8437865757467813,0.7257956700841417,0.7671361502347418,
glmm,knn,0.899,0.8183425779858531,0.7090843005038479,0.7471048513302034,
catboost,knn,0.911,0.8565085746272454,0.7341513548742887,0.7771517996870109,
woe,knn,0.904,0.8354869816779171,0.71802070538691,0.7586872586872586,
onehot,svm,0.888,0.7989539065053939,0.6604667485523776,0.6995192307692307,
binary,svm,0.919,0.9018284347231715,0.7357807134083674,0.788938831346492,
basen,svm,0.919,0.9018284347231715,0.7357807134083674,0.788938831346492,
hash,svm,0.896,0.9330077741292695,0.6289156827847826,0.67603668261563,
