encoding,model,mae,mse,rmse,nrmse,r2
helm,mlp,26.236689708656325,11839.223104833734,108.80819410703283,16.637338548475967,-0.004365627978975661
polynomial,mlp,24.963854659966493,11812.64013812061,108.6859702911126,16.61864989160743,-0.0021104953727262288
backdiff,mlp,23.678331000690886,12019.099955387766,109.63165580883911,16.763250123675704,-0.01962525476072119
target,mlp,21.999921483762506,12141.264682102363,110.1874070940158,17.216782358439968,-0.02026682906837074
mestimate,mlp,26.199995694714712,11912.942175619639,109.1464253909382,17.054128967334094,-0.0010802051215699215
jamesstein,mlp,22.961576523255328,11964.773352205548,109.38360641433225,17.09118850223941,-0.0054357341020179195
loout,mlp,21.716853101151866,12083.064446228704,109.92299325540905,17.175467696157664,-0.015376088963397594
glmm,mlp,24.729689952825222,11998.648284316181,109.53834161751848,17.11536587773726,-0.008282346088030357
catboost,mlp,22.629062043921298,12088.460324720514,109.94753441856035,17.179302252900055,-0.015829520791384555
quantile,mlp,25.17633346996534,11907.376309181269,109.12092516644674,17.0501445572573,-0.0006124886973934984
summary,mlp,24.524509484223746,11970.39293723547,109.40929090911553,17.0952017045493,-0.0059079646603066305
onehot,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
binary,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
basen,knn,26.13498076923077,11886.251257192303,109.02408567464487,16.670349491535912,-0.008355202240568849
hash,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
ordinal,knn,26.02723076923077,11886.041114384612,109.02312192550997,16.67020212928287,-0.008337375039312311
gray,knn,26.101423076923076,11886.045059923073,109.02314002047031,16.670204896096376,-0.008337709754113964
rankhot,knn,26.101423076923076,11886.045059923073,109.02314002047031,16.670204896096376,-0.008337709754113964
count,knn,25.117596153846158,11873.429825730766,108.96526889670288,16.661356100413286,-0.007267512199809367
minhash,knn,22.166134615384614,11487.416831884611,107.17936756617205,16.38828250247279,0.025479415494630953
similarity,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
gap,knn,26.165173076923075,11886.360472423072,109.02458655011296,16.670426077998922,-0.008364467377551588
sum,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
helm,knn,25.91405769230769,11881.846247653843,109.00388180085075,16.667260214197363,-0.007981508786853553
polynomial,knn,26.113692307692308,11886.103559615382,109.02340831039626,16.670245919020836,-0.008342672502064552
backdiff,knn,26.113999999999997,11886.821408230764,109.02670043723585,16.67074930232964,-0.008403570288093132
target,knn,25.882155339805827,11990.122091999996,109.49941594364783,17.10928374119497,-0.007565864615446838
mestimate,knn,25.801262135922332,11988.79877704854,109.49337321065846,17.108339564165384,-0.007454662497320408
jamesstein,knn,25.863883495145632,11991.334793087377,109.50495328106112,17.110148950165797,-0.007667771519334288
